ROW,COL,2000,2050,2100
13,3,0.012737207,0.014265672,0.01171823
13,4,0.012883088,0.014429059,0.011852441
13,5,0.014258065,0.015969033,0.01311742
13,6,0.013004783,0.014565357,0.0119644
13,7,0.013807017,0.015463859,0.012702456
13,8,0.012592449,0.014103543,0.011585053
13,9,0.014399615,0.016127569,0.013247646
13,10,0.015878718,0.017784164,0.014608421
13,11,0.01415944,0.015858573,0.013026685
13,12,0.014654633,0.016413189,0.013482262
13,13,0.014885605,0.016671878,0.013694757
13,14,0.014710189,0.016475412,0.013533374
13,15,0.015075097,0.016884109,0.013869089
13,16,0.01780314,0.019939517,0.016378889
13,17,0.016995434,0.019034886,0.015635799
13,18,0.014725583,0.016492653,0.013547536
13,19,0.012447124,0.013940779,0.011451354
13,24,0.015804799,0.017701375,0.014540415
13,25,0.015894469,0.017801805,0.014622911
14,2,0.016388342,0.018354943,0.015077275
14,3,0.011205567,0.012550235,0.010309122
14,4,0.012360749,0.013844039,0.011371889
14,5,0.014264639,0.015976396,0.013123468
14,6,0.014268889,0.015981156,0.013127378
14,7,0.015267668,0.017099788,0.014046255
14,8,0.015585006,0.017455207,0.014338206
14,9,0.014675783,0.016436877,0.01350172
14,10,0.016997642,0.019037359,0.015637831
14,11,0.015757633,0.017648549,0.014497022
14,12,0.017851773,0.019993986,0.016423631
14,13,0.016303018,0.01825938,0.014998777
14,14,0.015447492,0.017301191,0.014211693
14,15,0.016962405,0.018997894,0.015605413
14,16,0.013421056,0.015031583,0.012347372
14,17,0.016632543,0.018628448,0.01530194
14,24,0.016868654,0.018892892,0.015519162
15,14,0.015713211,0.017598796,0.014456154
